date,quiz,solution
0205,000597008000608900000002300003000091089301620250000400002900000004705000800146000
0206,000050007104800002002069000089200075007000800240005930000590200900004708600020000
0207,000006000091320800000180009800000061109204508370000004900052000007091240000700000
0208,400020056003106040000800300502007000000090000000500109007001000030405600650070003
0209,706050120000030000400007003040502900503090807007308050100200008000080000098040502
0210,000203400080407500007060301000000038102000605830000000208030700003704050009608000
0212,010050009300009000509103060700010090104000803090030006030604905000900008900070040
0213,301600090000050320007090008000200069072000150960005000200040700054010000080002904
0214,000030100058007092010900006000200049009070500840001000900003010580400930007050000
0215,900000006000400320030008100419070600082906740007030291003100050094003000800000003
0216,000256003500003080000000000150602408068904210203105079000000000030500001400319000
0217,719000000004708001600201000046000000050010040000000830000605002800903600000000789
