date,quiz,solution
0205,090000700038409000007006000500060030003908600010040005000600800000801370001000090
0206,000002060062000807000080100050400008700090001800006050004010000109000740070900000
0207,000090000000068050962700008001000062700000009680000500500009271030850000000020000
0208,000302040000004650400079000200000030003408200070000008000530002068200000020907000
0209,650000400000020000004500108000980010007204600040076000701002800000010000009000041
0210,072000031000001600100008002000102308000000000406307000700500006001400000650000280
0211,000090803000100002000706900080030400601000709004010080009301000100009000208070000
0212,040062000000900600910007000630210000004000300000034091000100024070003000000540030
0213,070096310080020004000100000803000020004000900020000708000009000200010090018340060
0214,000051207201000000000900000002006701170000083308100500000007000000000806709580000
